source_id,date_raw,date_parsed,time,location,country,description,references
Magonia_512,11/13/1960,1960-11-13,0245,"La Londe, France",France,"Remi Carbonnier, 45, was awakened by a green light illuminating his room. He went to the window and saw a bright, round object, 6 m in diameter, resting on three legs on the railroad tracks 300 m away. It was emitting orange flashes. A dome on top of the object started spinning, the legs disappeared, and the object rose vertically above the trees, without noise. Less than 20 sec later, it had cleared the hill and was lost to sight in the southwest. The next day the witness went to the site and found no trace, but his dog turned around and ran away,",131 (Vallee)
Magonia_513,12/9/1960,1960-12-09,2030,"Carignan, France",France,"A dog barking at a glowing object resting in a park. Three witnesses observed it from separate locations. It appeared as an oval, luminous craft, 4 m in diameter, inside which vague shadows were seen. It took off toward the north. A circle of yellowed grass was found at the site.",Ouranos 27 (Vallee)
Magonia_514,1/1/1961,1961-01-01,,"La Victoria, Venezuela",Venezuela,"A government topographer, Adolfo P. Pisani, was passed by a truck as he was driving on the Andean Highway. A brilliant disk with the appearance of blue steel swooped down very close to the hood of the truck and then flew away. The truck was pulled up nearly 1 m above the road and overturned in a sandbank. The driver escaped with minor injuries.",Lor.I 250 (Vallee)
Magonia_515,1/22/1961,1961-01-22,1830,"Cestas-Gazinet, France",France,"An electronics professor at Bordeaux University and three school teachers observed an elongated, glowing, orange object. Interference with car ignition was noted. One witness was said to have felt a slight indisposition and to have heard or somehow perceived the word ""ZEMU"" repeated twice.",Ouranos 26 (Vallee)
Magonia_516,3/10/1961,1961-03-10,2045,"Bowna, Australia",Australia,"F. Reynolds and his son were camping near the water. They observed an object on the ground with four windows in it. There was a fire nearby, and four figures could be seen between it and the object. At 2130 it had disappeared. Witnesses in Wodonga, West Albury, Wangaratta and Tallangatta independently observed an unknown object in flight.",Austr. FSR 5 (Vallee)
Magonia_517,4/18/1961,1961-04-18,1100,"Eagle River, Wisconsin",United States,"J. Simonton heard a whining sound and saw an object, 10 m in diameter, 4 m high, with exhaust pipes around the periphery, land near his house. A door was opened and a man appeared. About 1.50 m tall, he wore a black, turtle-neck pullover with a white band at the belt, and black trousers with a vertical white band along the side. Two figures were visible inside the object. Simonton filled a jug with water, returned it to the man, who gave him three ordinary pancakes, and the craft took off.",Atic; Magonia (Vallee)
Magonia_518,5/3/1961,1961-05-03,2200,"Union Mills, Indiana",United States,"Approximate date. A hemispherical craft with portholes, resting on a road, took off when a car came near it. Estimated diameter was 4 m, height 2.5 m, bearing ""fluorescent lights.""","Evidence 139, 147 (Vallee)"
Magonia_519,6/3/1961,1961-06-03,0635,"Savona, Italy",Italy,"Off this town, four people in a boat were suddenly shaken by growing waves and saw the sea swelling like an enormous bubble 1 km away. An object emerged, hovering at 10 m altitude for a brief time, its underside glowing, and it left obliquely at high speed toward the northeast. Its shape was similar to a cone resting on a disk.","Settimana Incom. Jan. 6,63 (Vallee)"
Magonia_520,7/3/1961,1961-07-03,0015,"Ryde, Great Britain",United Kingdom,"An object resembling a hovercraft, having five windows through which an orange light was shining, hovered about 20 m above the trees. It left suddenly at high speed.","FSR 61, 6 (Vallee)"
Magonia_521,7/17/1961,1961-07-17,0200,"Las Vegas, Nevada",United States,"One mile north of Bonny Spring Ranch, on U.S. Highway 91, two civilians in a car observed in the rear-view mirror a low-flying object that overtook their car, followed by a rush of cold air. It stopped, circled the vehicle, flew off and was lost to sight behind the mountains, where it may have landed. In the course of an exceptionally complete investigation by military authorities, however, no evidence of a landing was discovered.",Atic (Vallee)
Magonia_522,8/12/1961,1961-08-12,2100,"Kansas City, Kansas",United States,"Two Drake University students saw a large object shaped like an oval with ""running boards"" bearing a series of lights. It hovered for about 4 min at tree-height, shot straight up, climbed away toward the east, then disappeared from view in five sec or so.",Atic (Vallee)
Magonia_523,8/25/1961,1961-08-25,,"Toulouse, France",France,"Approximate date. Five persons observed a luminous, yellow sphere, 8 m in diameter, flying about 10 m above the road. Horizontal and vertical bands of darker tone gave the impression of ""windows."" The object flew up very fast when the car reached town.",LDLN (Vallee)
Magonia_524,9/19/1961,1961-09-19,2200,"Indian Head, New Hampshire",United States,"Mr. and Mrs. Hill saw a lenticular object with a double row of portholes and half-a-dozen dark figures working at control panels inside, when they stopped to investigate a light following their car. They became afraid and drove away. A ""beeping sound"" enveloped the car, and they felt a prickling sensation before losing consciousness. When they came to, they were driving near Ashland. A series of nightmares and medically controlled hypnosis brought back what apparently was the memory of their abduction by the occupants of the object.",Fuller; Magonia (Vallee)
Magonia_525,9/30/1961,1961-09-30,2200,"La Porte, Indiana",United States,"Eight km south of La Porte, 16-year-old Dennis Bealor saw a large sphere of orange light rise ahead of him on the road. He was so frightened that he lost control of his bike and left the road.",Hartle 158 (Vallee)
Magonia_526,12/21/1961,1961-12-21,2145,"Lafayette, Indiana",United States,"Jerry Hislope, 20, was driving to Kentland when he saw a glowing white object, 3 m in diameter, 1 m thick, dive at him, flying 3 m above the ground. He stopped to observe it, but the object flew away.","APRO Mar., 62 (Vallee)"
